TANGGAL;suhu;curah_hujan
01-01-2020;26;47.5
02-01-2020;26.4;2
03-01-2020;27.3;1
04-01-2020;28;4.5
05-01-2020;27.3;52.5
06-01-2020;26.6;0
07-01-2020;26.9;10.5
08-01-2020;28;2
09-01-2020;26.7;10
10-01-2020;25.8;39.5
11-01-2020;27;14
12-01-2020;27.4;0
13-01-2020;26.8;6
14-01-2020;27.1;16
15-01-2020;28.2;1
16-01-2020;27;29
17-01-2020;28;4.5
18-01-2020;26.6;119.5
19-01-2020;27;0.5
20-01-2020;28.7;0
21-01-2020;27.6;5.5
22-01-2020;27.2;0
23-01-2020;28.5;3.8
24-01-2020;27.4;7
25-01-2020;27;6
26-01-2020;26.6;0
27-01-2020;26.5;4
28-01-2020;26.9;106
29-01-2020;27.4;3
30-01-2020;27;24
31-01-2020;27.2;8.2
01-02-2020;26.9;3
02-02-2020;26.8;-
03-02-2020;25.9;1.8
04-02-2020;27.3;1
05-02-2020;27.2;-
06-02-2020;25.2;34.5
07-02-2020;25.5;15
08-02-2020;26.7;8.5
09-02-2020;27.6;-
10-02-2020;28;8888
11-02-2020;27;6
12-02-2020;28.8;-
13-02-2020;25.4;41
14-02-2020;27.2;2
15-02-2020;27.5;3
16-02-2020;26.3;0
17-02-2020;27.1;8888
18-02-2020;25.3;34
19-02-2020;26.1;6
20-02-2020;26.9;39.5
21-02-2020;27.5;2
22-02-2020;28;-
23-02-2020;28;-
24-02-2020;27.7;-
25-02-2020;27.2;0
26-02-2020;27.7;2.4
27-02-2020;28;6.8
28-02-2020;27.7;-
29-02-2020;26.7;1
01-03-2020;28.2;3.5
02-03-2020;28.7;-
03-03-2020;28.7;0.5
04-03-2020;26.7;-
05-03-2020;26.2;2
06-03-2020;26.5;-
07-03-2020;26.5;7
08-03-2020;26.8;-
09-03-2020;28.3;3
10-03-2020;28.2;8888
11-03-2020;28.5;-
12-03-2020;26.4;15.5
13-03-2020;26.8;20.6
14-03-2020;27.6;-
15-03-2020;27.4;-
16-03-2020;28.1;8888
17-03-2020;27.7;3
18-03-2020;27.8;13
19-03-2020;26.4;17
20-03-2020;26.7;4.7
21-03-2020;26.7;18.5
22-03-2020;27.6;-
23-03-2020;27.2;8888
24-03-2020;28.4;-
25-03-2020;26.9;64.5
26-03-2020;26.6;-
27-03-2020;26.6;18
28-03-2020;28.2;4
29-03-2020;27.4;4
30-03-2020;27.6;0.5
31-03-2020;27.3;1.5
01-04-2020;26;3.5
02-04-2020;26.7;15
03-04-2020;27.3;2.8
04-04-2020;28.2;20.8
05-04-2020;27;27
06-04-2020;26.5;2.5
07-04-2020;27;6
08-04-2020;27.6;-
09-04-2020;27.3;57
10-04-2020;28.2;6.3
11-04-2020;27.9;-
12-04-2020;28;1.5
13-04-2020;27.6;-
14-04-2020;27.9;2
15-04-2020;26.7;1.5
16-04-2020;27;14.5
17-04-2020;28;-
18-04-2020;27.9;-
19-04-2020;28.2;0.5
20-04-2020;29.1;-
21-04-2020;28.1;-
22-04-2020;29.3;8888
23-04-2020;28;-
24-04-2020;27;8.5
25-04-2020;27.6;20.5
26-04-2020;26.6;-
27-04-2020;25.9;3
28-04-2020;-;17
29-04-2020;27.1;8888
30-04-2020;26.2;4.5
01-05-2020;27.3;7
02-05-2020;27.2;6.5
03-05-2020;27.1;-
04-05-2020;27.7;8888
05-05-2020;26.3;-
06-05-2020;27.6;8888
07-05-2020;27.5;-
08-05-2020;26.9;13.6
09-05-2020;27.8;11.3
10-05-2020;27.6;-
11-05-2020;28.6;9.5
12-05-2020;28.7;-
13-05-2020;28.5;-
14-05-2020;27.9;-
15-05-2020;28;6.5
16-05-2020;28.4;-
17-05-2020;27.3;2.5
18-05-2020;26.6;10.5
19-05-2020;27.3;8888
20-05-2020;26.5;44.5
21-05-2020;27.5;6
22-05-2020;28.1;-
23-05-2020;27.4;26
24-05-2020;28.6;-
25-05-2020;27.9;1
26-05-2020;27.8;1
27-05-2020;27.9;-
28-05-2020;27.9;7.5
29-05-2020;29;-
30-05-2020;25.8;-
31-05-2020;27;8
01-06-2020;26.8;8888
02-06-2020;27.4;8
03-06-2020;26.9;9.5
04-06-2020;24.8;1.8
05-06-2020;25.9;11.5
06-06-2020;27.2;23.5
07-06-2020;27.2;-
08-06-2020;27.1;-
09-06-2020;27.2;41.5
10-06-2020;28.1;-
11-06-2020;28.1;6.5
12-06-2020;-;21
13-06-2020;26.7;1
14-06-2020;28;2.6
15-06-2020;26;-
16-06-2020;26.5;28.7
17-06-2020;27.5;4.7
18-06-2020;25.8;-
19-06-2020;26.2;25.2
20-06-2020;26.7;-
21-06-2020;26.1;-
22-06-2020;26.1;7
23-06-2020;25;44
24-06-2020;27.1;35
25-06-2020;26.7;6.5
26-06-2020;26.8;-
27-06-2020;27.3;-
28-06-2020;27.5;3.4
29-06-2020;26.4;-
30-06-2020;25.2;-
01-07-2020;25.4;3
02-07-2020;24.7;40
03-07-2020;25.9;8888
04-07-2020;26.1;8888
05-07-2020;27.3;17
06-07-2020;25.3;6.5
07-07-2020;25;37.5
08-07-2020;26.4;1.8
09-07-2020;26.4;3.4
10-07-2020;27.3;2.5
11-07-2020;27.1;-
12-07-2020;27.6;-
13-07-2020;26.8;8888
14-07-2020;26.2;0.1
15-07-2020;26.2;1
16-07-2020;27;1
17-07-2020;27.6;-
18-07-2020;27.7;2.5
19-07-2020;25.5;-
20-07-2020;25.9;16
21-07-2020;26.6;15.7
22-07-2020;26.2;6
23-07-2020;26.2;30
24-07-2020;25.2;12
25-07-2020;26.7;8888
26-07-2020;27.3;-
27-07-2020;26.4;-
28-07-2020;26.8;-
29-07-2020;26.9;-
30-07-2020;26;-
31-07-2020;25.5;-
01-08-2020;25.9;-
02-08-2020;26.2;-
03-08-2020;26.9;-
04-08-2020;27.7;-
05-08-2020;26.1;14.6
06-08-2020;27.1;5.4
07-08-2020;27.5;-
08-08-2020;27.3;13.2
09-08-2020;28.1;-
10-08-2020;27.1;-
11-08-2020;27.2;0
12-08-2020;28.1;2.5
13-08-2020;25.8;-
14-08-2020;26.5;19.2
15-08-2020;26.5;4.5
16-08-2020;26;-
17-08-2020;26.5;9.5
18-08-2020;26.8;11.2
19-08-2020;27.6;-
20-08-2020;27.3;-
21-08-2020;27.7;-
22-08-2020;27.6;-
23-08-2020;27.3;-
24-08-2020;27.3;-
25-08-2020;27.4;-
26-08-2020;27.5;-
27-08-2020;26.6;-
28-08-2020;26.6;-
29-08-2020;27.2;-
30-08-2020;27.3;-
31-08-2020;27.5;-
