komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Beras,02/01/2018,""12,000"""
"Daging Ayam,02/01/2018,""33,300"""
"Daging Sapi,02/01/2018,""110,000"""
"Telur Ayam,02/01/2018,""22,950"""
"Bawang Merah,02/01/2018,""18,250"""
"Bawang Putih,02/01/2018,""20,650"""
"Cabai Merah Besar,02/01/2018,""41,750"""
"Cabai Merah Keriting,02/01/2018,""42,400"""
"Cabai Rawit Hijau,02/01/2018,""40,000"""
"Cabai Rawit Merah,02/01/2018,""46,250"""
"Minyak Goreng,02/01/2018,""13,350"""
"Gula Pasir,02/01/2018,""12,900"""
"Beras,03/01/2018,""12,100"""
"Daging Ayam,03/01/2018,""31,950"""
"Daging Sapi,03/01/2018,""110,000"""
"Telur Ayam,03/01/2018,""23,150"""
"Bawang Merah,03/01/2018,""18,750"""
"Bawang Putih,03/01/2018,""20,650"""
"Cabai Merah Besar,03/01/2018,""46,000"""
"Cabai Merah Keriting,03/01/2018,""41,000"""
"Cabai Rawit Hijau,03/01/2018,""43,750"""
"Cabai Rawit Merah,03/01/2018,""49,500"""
"Minyak Goreng,03/01/2018,""13,150"""
"Gula Pasir,03/01/2018,""12,800"""
"Beras,04/01/2018,""12,100"""
"Daging Ayam,04/01/2018,""31,950"""
"Daging Sapi,04/01/2018,""110,000"""
"Telur Ayam,04/01/2018,""23,150"""
"Bawang Merah,04/01/2018,""18,750"""
"Bawang Putih,04/01/2018,""20,150"""
"Cabai Merah Besar,04/01/2018,""44,250"""
"Cabai Merah Keriting,04/01/2018,""39,250"""
"Cabai Rawit Hijau,04/01/2018,""46,400"""
"Cabai Rawit Merah,04/01/2018,""49,150"""
"Minyak Goreng,04/01/2018,""13,200"""
"Gula Pasir,04/01/2018,""12,750"""
"Beras,05/01/2018,""11,950"""
"Daging Ayam,05/01/2018,""31,950"""
"Daging Sapi,05/01/2018,""110,000"""
"Telur Ayam,05/01/2018,""23,150"""
"Bawang Merah,05/01/2018,""18,250"""
"Bawang Putih,05/01/2018,""19,150"""
