Tahun;Kode Wilayah;Kabupaten_Kota;Kelompok Bahan;Komoditas;Konsumsi Pangan
2023;1804;Lampung Barat;Padi-Padian;Padi-Padian;125,89
2023;1804;Lampung Barat;Padi-Padian;Beras;107,48
2023;1804;Lampung Barat;Padi-Padian;Jagung;0,27
2023;1804;Lampung Barat;Padi-Padian;Terigu;18,14
2023;1804;Lampung Barat;Umbi-umbian;Umbi-umbian;21,97
2023;1804;Lampung Barat;Umbi-umbian;Singkong;13,65
2023;1804;Lampung Barat;Umbi-umbian;Ubi Jalar;5,41
2023;1804;Lampung Barat;Umbi-umbian;kentang;1,81
2023;1804;Lampung Barat;Umbi-umbian;Sagu;0,30
2023;1804;Lampung Barat;Umbi-umbian;Umbi lainnya;0,80
2023;1804;Lampung Barat;Pangan Hewani;Pangan Hewani;34,39
2023;1804;Lampung Barat;Pangan Hewani;Daging Ruminansia;2,21
2023;1804;Lampung Barat;Pangan Hewani;Daging Unggas;4,91
2023;1804;Lampung Barat;Pangan Hewani;Telur;5,81
2023;1804;Lampung Barat;Pangan Hewani;Susu;1,67
2023;1804;Lampung Barat;Pangan Hewani;Ikan ;19,79
2023;1804;Lampung Barat;Minyak dan Lemak;Minyak dan Lemak;11,7
2023;1804;Lampung Barat;Minyak dan Lemak;Minyak Kelapa;0,11
2023;1804;Lampung Barat;Minyak dan Lemak;Minyak sawit;11,33
2023;1804;Lampung Barat;Minyak dan Lemak;Minyak lainnya;0,26
2023;1804;Lampung Barat;Buah/Biji Berminyak;Buah/Biji Berminyak;1,57
2023;1804;Lampung Barat;Buah/Biji Berminyak;Kelapa;1,39
2023;1804;Lampung Barat;Buah/Biji Berminyak;Kemiri;0,18
2023;1804;Lampung Barat;Kacang-kacangan;Kacang-kacangan;11,29
2023;1804;Lampung Barat;Kacang-kacangan;Kedelai;10,42
2023;1804;Lampung Barat;Kacang-kacangan;Kacang tanah;0,38
2023;1804;Lampung Barat;Kacang-kacangan;Kacang hijau;0,14
2023;1804;Lampung Barat;Kacang-kacangan;kacang lain;0,35
2023;1804;Lampung Barat;Gula;Gula;7,57
2023;1804;Lampung Barat;Gula;Gula Pasir;6,19
2023;1804;Lampung Barat;Gula;Gula Merah;1,38
