kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Lampung Barat;2017;Jagung;831.4316666;190.7;43.59893375;
Lampung Barat;2017;Kacang Hijau;0;0;0;
Lampung Barat;2017;Kacang Tamnah;244.471375;196.4;12.44762602;
Lampung Barat;2017;Kedelai;91;66;13.78787879;
Lampung Barat;2017;Padi;147606;27732.4;53.22510854;
Lampung Barat;2017;Padi Ladang;0;0;0;
Lampung Barat;2017;Padi Sawah;0;0;0;
Lampung Barat;2017;Ubijalar;4644.493173;381;121.902708;
Lampung Barat;2017;Ubikayu / Ketela Pohon;3721.737059;159;234.0715131;
Lampung Barat;2018;Jagung;0;0;0;
Lampung Barat;2018;Kacang Hijau;0;0;0;
Lampung Barat;2018;Kacang Tamnah;303.1279832;169;17.93656705;
Lampung Barat;2018;Kedelai;49.25263145;35;14.07218042;
Lampung Barat;2018;Padi;81355;15536.23;52.36469851;
Lampung Barat;2018;Padi Ladang;0;0;0;
Lampung Barat;2018;Padi Sawah;0;0;0;
Lampung Barat;2018;Ubijalar;8614.607238;355;242.6649926;
Lampung Barat;2018;Ubikayu / Ketela Pohon;3071.568722;131;234.4708948;
Lampung Barat;2019;Jagung;0;0;0;
Lampung Barat;2019;Kacang Hijau;30.723;31;9.910645161;
Lampung Barat;2019;Kacang Tamnah;303.1169194;202;15.00578809;
Lampung Barat;2019;Kedelai;667;477;13.98322851;
Lampung Barat;2019;Padi;59142.33;13631.86;43.38537074;
Lampung Barat;2019;Padi Ladang;0;0;0;
Lampung Barat;2019;Padi Sawah;0;0;0;
Lampung Barat;2019;Ubijalar;8141.446926;320;254.4202165;
Lampung Barat;2019;Ubikayu / Ketela Pohon;4460.427636;167;267.0914752;
Lampung Barat;2020;Jagung;0;0;0;
Lampung Barat;2020;Kacang Hijau;6.5;7;9.285714286;
Lampung Barat;2020;Kacang Tamnah;313.119193;183.4;17.07302034;
Lampung Barat;2020;Kedelai;1682.53893;1058;15.90301446;
Lampung Barat;2020;Padi;57093.19;13400.6;42.60495052;
Lampung Barat;2020;Padi Ladang;0;0;0;
Lampung Barat;2020;Padi Sawah;0;0;0;
Lampung Barat;2020;Ubijalar;6647.178705;367.9;180.6789536;
Lampung Barat;2020;Ubikayu / Ketela Pohon;3487.111043;152;229.4152002;
Lampung Barat;2021;Jagung;0;0;0;
Lampung Barat;2021;Kacang Hijau;0.2;5;0.4;
Lampung Barat;2021;Kacang Tamnah;334.19808;172.6;19.36257706;
Lampung Barat;2021;Kedelai;433.8771555;297.5;14.58410607;
Lampung Barat;2021;Padi;60665.89;12303.02;49.30975484;
Lampung Barat;2021;Padi Ladang;0;0;0;
Lampung Barat;2021;Padi Sawah;0;0;0;
Lampung Barat;2021;Ubijalar;6887.902857;299.9;229.6733197;
Lampung Barat;2021;Ubikayu / Ketela Pohon;3268.747178;127.3;256.7751122;
Lampung Barat;2022;Jagung;0;0;0;
Lampung Barat;2022;Kacang Hijau;0;0;0;
Lampung Barat;2022;Kacang Tamnah;229.3218415;150.2;15.26776575;
Lampung Barat;2022;Kedelai;46.1904606;28.5;16.20717916;
Lampung Barat;2022;Padi;62802.09;13032.88;48.18742289;
Lampung Barat;2022;Padi Ladang;0;0;0;
Lampung Barat;2022;Padi Sawah;0;0;0;
Lampung Barat;2022;Ubijalar;7815.148358;323.4;241.6557934;
Lampung Barat;2022;Ubikayu / Ketela Pohon;3349.757162;127.2;263.3456888;
Lampung Barat;2023;Jagung;0;0;0;
Lampung Barat;2023;Kacang Hijau;0;0;0;
Lampung Barat;2023;Kacang Tamnah;0;0;0;
Lampung Barat;2023;Kedelai;0;0;0;
